Student,LPIPS,SSIM
112590036.png,0.0,1.0
112590060.png,0.16586802899837494,0.7023757892584203
112590041.png,0.17781314253807068,0.7331172477745089
112590038.png,0.19095806777477264,0.735740622053601
112590007.png,0.19634956121444702,0.7063828632238313
112590017.png,0.21209004521369934,0.6751038263216486
109810011.png,0.24384601414203644,0.66354104194182
112590044.png,0.26690855622291565,0.6423103798066729
112590004.png,0.26789194345474243,0.6666140860658707
112590013.png,0.2716270089149475,0.7292552375568384
112590033.png,0.28455376625061035,0.70883207770999
112590029.png,0.300633043050766,0.7001368536093574
112590012.png,0.3056034445762634,0.7131885477913263
110590456.png,0.30837684869766235,0.6188060527657867
112590009.png,0.31048330664634705,0.6674868451049187
112590023.png,0.31077176332473755,0.6663546894106303
111332012.png,0.32297325134277344,0.6278403024660403
112590014.png,0.339242160320282,0.6411086409727871
112590035.png,0.3482934236526489,0.5575968900651748
112590020.png,0.3498728275299072,0.5818498384484581
112590003.png,0.3581700921058655,0.5582866011326861
112590026.png,0.36836838722229004,0.5594839964198186
112590022.png,0.3701285123825073,0.5996143290016666
110820009.png,0.3837137818336487,0.5553977984562911
111820017.jpg,0.3991753160953522,0.5913410226876646
112590057.png,0.4001730978488922,0.513285580378761
110590041.png,0.40018507838249207,0.6308687455983115
112590021.png,0.4006471633911133,0.5371159374780705
113378043.png,0.4022411108016968,0.5830262380832026
112590005.png,0.4086664319038391,0.5636960322138537
112ab0053.png,0.4129151701927185,0.6517709480402942
112590030.png,0.41774478554725647,0.5899804943956463
112590052.png,0.455966055393219,0.47085583931662095
112590025.png,0.46085023880004883,0.47703118223856494
112590031.png,0.4657604396343231,0.436298354227801
112590051.png,0.46794092655181885,0.44069396844760406
112590024.png,0.4881056547164917,0.4770489793198905
112590053.png,0.5001891851425171,0.4144772526944071
112590018.png,0.5140255093574524,0.3985688790025655
